Designator,Mid X,Mid Y,Rotation,Layer
BRAKE/IR/AIR_1,35.395,-2.195,0.0,top
DASH_1,35.395,6.305,0.0,top
FAN_1,35.42,27.555,0.0,top
FAN_2,35.42,40.305,0.0,top
FBOX_1,35.36,-6.465,0.0,top
INVERTER_1,35.36,-14.965,0.0,top
INVERTER_2,35.36,-10.715,0.0,top
J2,56.435,55.185,0.0,top
J5,59.86,29.26,90.0,top
J8,59.9,-7.78,90.0,top
PC_1,35.42,10.555,0.0,top
PC_2,35.42,14.805,0.0,top
PC_3,35.42,19.055,0.0,top
PC_4,35.42,23.305,0.0,top
PUMP_1,35.42,31.805,0.0,top
PUMP_2,35.42,36.055,0.0,top
REARBOX/DIAGPORT/BRAKE_L_1,35.36,-19.215,0.0,top
SDC/ASMS_1,35.395,2.055,0.0,top
TSAL/HV_1,35.44,-23.465,0.0,top
